,occ_code,occ_title,o_group,tot_emp,emp_prse,h_mean,a_mean,mean_prse
40,11-9021,Construction Managers,detailed,285640.0,1.0,51.57,107260.0,0.5
41,11-9030,Education and Childcare Administrators,broad,493350.0,0.6,48.64,101160.0,0.5
42,11-9031,"Education and Childcare Administrators, Preschool and Daycare",detailed,46410.0,2.1,26.41,54940.0,1.2
44,11-9033,"Education Administrators, Postsecondary",detailed,140880.0,1.2,55.38,115200.0,0.8
45,11-9039,"Education Administrators, All Other",detailed,43580.0,2.5,45.11,93830.0,0.8
46,11-9040,Architectural and Engineering Managers,broad,195900.0,1.2,76.01,158100.0,0.5
47,11-9041,Architectural and Engineering Managers,detailed,195900.0,1.2,76.01,158100.0,0.5
48,11-9050,Food Service Managers,broad,197010.0,1.3,29.33,61000.0,0.6
49,11-9051,Food Service Managers,detailed,197010.0,1.3,29.33,61000.0,0.6
50,11-9071,Gambling Managers,detailed,3240.0,3.9,41.08,85440.0,1.2
51,11-9080,Lodging Managers,broad,31790.0,3.0,31.38,65270.0,1.3
52,11-9081,Lodging Managers,detailed,31790.0,3.0,31.38,65270.0,1.3
53,11-9110,Medical and Health Services Managers,broad,402540.0,0.7,57.12,118800.0,0.4
54,11-9111,Medical and Health Services Managers,detailed,402540.0,0.7,57.12,118800.0,0.4
55,11-9120,Natural Sciences Managers,broad,75870.0,4.9,74.49,154930.0,1.9
56,11-9121,Natural Sciences Managers,detailed,75870.0,4.9,74.49,154930.0,1.9
57,11-9130,Postmasters and Mail Superintendents,broad,13880.0,0.3,38.3,79660.0,0.1
58,11-9131,Postmasters and Mail Superintendents,detailed,13880.0,0.3,38.3,79660.0,0.1
59,11-9140,"Property, Real Estate, and Community Association Managers",broad,219800.0,1.4,35.2,73210.0,1.0
60,11-9141,"Property, Real Estate, and Community Association Managers",detailed,219800.0,1.4,35.2,73210.0,1.0
61,11-9150,Social and Community Service Managers,broad,155800.0,1.5,36.13,75140.0,0.6
62,11-9151,Social and Community Service Managers,detailed,155800.0,1.5,36.13,75140.0,0.6
63,11-9160,Emergency Management Directors,broad,10210.0,1.5,40.53,84310.0,0.9
64,11-9161,Emergency Management Directors,detailed,10210.0,1.5,40.53,84310.0,0.9
65,11-9171,Funeral Home Managers,detailed,10010.0,3.9,44.01,91530.0,4.0
66,11-9198,"Personal Service Managers, All Other; Entertainment and Recreation Managers, Except Gambling; and Managers, All Other",detailed,469160.0,0.6,59.61,123980.0,0.3
67,13-0000,Business and Financial Operations Occupations,major,8387490.0,0.2,38.79,80680.0,0.2
68,13-1000,Business Operations Specialists,minor,5632020.0,0.3,37.66,78320.0,0.2
69,13-1010,"Agents and Business Managers of Artists, Performers, and Athletes",broad,16240.0,6.9,47.15,98070.0,4.7
70,13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",detailed,16240.0,6.9,47.15,98070.0,4.7
71,13-1020,Buyers and Purchasing Agents,broad,419920.0,0.7,34.8,72370.0,0.3
72,13-1020,Buyers and Purchasing Agents,detailed,419920.0,0.7,34.8,72370.0,0.3
73,13-1030,"Claims Adjusters, Appraisers, Examiners, and Investigators",broad,300380.0,1.4,33.92,70560.0,0.4
74,13-1031,"Claims Adjusters, Examiners, and Investigators",detailed,287150.0,1.4,33.97,70650.0,0.4
75,13-1032,"Insurance Appraisers, Auto Damage",detailed,13220.0,6.6,32.95,68540.0,0.9
76,13-1040,Compliance Officers,broad,327360.0,0.6,36.35,75620.0,0.3
77,13-1041,Compliance Officers,detailed,327360.0,0.6,36.35,75620.0,0.3
78,13-1050,Cost Estimators,broad,199360.0,1.0,35.08,72960.0,0.4
79,13-1051,Cost Estimators,detailed,199360.0,1.0,35.08,72960.0,0.4
80,13-1070,Human Resources Workers,broad,718120.0,0.5,33.63,69950.0,0.3
81,13-1071,Human Resources Specialists,detailed,647810.0,0.5,33.38,69430.0,0.2
83,13-1075,Labor Relations Specialists,detailed,70050.0,2.0,36.0,74870.0,1.5
84,13-1081,Logisticians,detailed,184230.0,1.0,38.38,79830.0,0.5
85,13-1110,Management Analysts,broad,734000.0,0.9,46.91,97580.0,0.4
86,13-1111,Management Analysts,detailed,734000.0,0.9,46.91,97580.0,0.4
87,13-1120,"Meeting, Convention, and Event Planners",broad,109800.0,1.7,26.87,55890.0,0.8
88,13-1121,"Meeting, Convention, and Event Planners",detailed,109800.0,1.7,26.87,55890.0,0.8
89,13-1130,Fundraisers,broad,82140.0,1.8,31.03,64550.0,0.7
90,13-1131,Fundraisers,detailed,82140.0,1.8,31.03,64550.0,0.7
91,13-1140,"Compensation, Benefits, and Job Analysis Specialists",broad,87870.0,1.9,34.91,72610.0,0.6
92,13-1141,"Compensation, Benefits, and Job Analysis Specialists",detailed,87870.0,1.9,34.91,72610.0,0.6
93,13-1150,Training and Development Specialists,broad,318040.0,0.7,32.43,67440.0,0.3
94,13-1151,Training and Development Specialists,detailed,318040.0,0.7,32.43,67440.0,0.3
95,13-1160,Market Research Analysts and Marketing Specialists,broad,690160.0,0.7,35.56,73970.0,0.5
96,13-1161,Market Research Analysts and Marketing Specialists,detailed,690160.0,0.7,35.56,73970.0,0.5
97,13-1198,"Project Management Specialists and Business Operations Specialists, All Other",detailed,1444420.0,0.5,40.53,84290.0,0.3
98,13-2000,Financial Specialists,minor,2755470.0,0.4,41.11,85510.0,0.3
99,13-2010,Accountants and Auditors,broad,1274620.0,0.5,39.26,81660.0,0.3
100,13-2011,Accountants and Auditors,detailed,1274620.0,0.5,39.26,81660.0,0.3
101,13-2020,Property Appraisers and Assessors,broad,55990.0,3.2,31.55,65630.0,1.4
102,13-2020,Property Appraisers and Assessors,detailed,55990.0,3.2,31.55,65630.0,1.4
103,13-2030,Budget Analysts,broad,49260.0,1.1,39.75,82690.0,0.4
104,13-2031,Budget Analysts,detailed,49260.0,1.1,39.75,82690.0,0.4
105,13-2040,Credit Analysts,broad,72090.0,2.4,41.43,86170.0,1.2
106,13-2041,Credit Analysts,detailed,72090.0,2.4,41.43,86170.0,1.2
107,13-2052,Personal Financial Advisors,detailed,218050.0,1.7,58.89,122490.0,1.2
108,13-2053,Insurance Underwriters,detailed,101790.0,2.3,38.65,80390.0,0.9
109,13-2060,Financial Examiners,broad,68210.0,2.2,44.58,92730.0,1.4
110,13-2061,Financial Examiners,detailed,68210.0,2.2,44.58,92730.0,1.4
111,13-2070,Credit Counselors and Loan Officers,broad,339470.0,1.1,35.81,74490.0,0.6
112,13-2071,Credit Counselors,detailed,30770.0,3.6,24.01,49940.0,0.9
113,13-2072,Loan Officers,detailed,308700.0,1.2,36.99,76930.0,0.7
114,13-2080,"Tax Examiners, Collectors and Preparers, and Revenue Agents",broad,115750.0,1.6,27.4,57000.0,1.3
115,13-2081,"Tax Examiners and Collectors, and Revenue Agents",detailed,53150.0,0.6,29.83,62040.0,0.4
116,13-2082,Tax Preparers,detailed,62600.0,2.9,25.34,52710.0,2.2
117,13-2098,"Financial and Investment Analysts, Financial Risk Specialists, and Financial Specialists, All Other",detailed,460250.0,0.9,46.46,96630.0,0.7
118,15-0000,Computer and Mathematical Occupations,major,4587700.0,0.5,46.53,96770.0,0.5
119,15-1200,Computer Occupations,minor,4368000.0,0.5,46.46,96630.0,0.6
120,15-1210,Computer and Information Analysts,broad,712460.0,0.9,48.4,100680.0,0.3
121,15-1211,Computer Systems Analysts,detailed,574450.0,1.0,47.61,99020.0,0.4
122,15-1212,Information Security Analysts,detailed,138000.0,1.7,51.72,107580.0,0.4
123,15-1220,Computer and Information Research Scientists,broad,30220.0,3.3,62.93,130890.0,1.4
124,15-1221,Computer and Information Research Scientists,detailed,30220.0,3.3,62.93,130890.0,1.4
125,15-1230,Computer Support Specialists,broad,819040.0,0.7,28.92,60160.0,0.3
126,15-1231,Computer Network Support Specialists,detailed,184220.0,1.4,34.16,71040.0,0.5
127,15-1232,Computer User Support Specialists,detailed,634820.0,0.8,27.4,57000.0,0.3
128,15-1240,Database and Network Administrators and Architects,broad,632540.0,0.7,47.8,99420.0,0.3
129,15-1241,Computer Network Architects,detailed,159350.0,1.6,57.32,119230.0,0.6
130,15-1244,Network and Computer Systems Administrators,detailed,339560.0,0.8,43.01,89460.0,0.3
131,15-1245,Database Administrators and Architects,detailed,133630.0,1.1,48.6,101090.0,0.4
132,15-1250,"Software and Web Developers, Programmers, and Testers",broad,1811160.0,0.8,52.86,109950.0,0.9
133,15-1251,Computer Programmers,detailed,178140.0,1.8,45.98,95640.0,1.6
134,15-1256,Software Developers and Software Quality Assurance Analysts and Testers,detailed,1476800.0,0.9,54.94,114270.0,0.7
135,15-1257,Web Developers and Digital Interface Designers,detailed,156220.0,1.6,41.1,85490.0,3.6
136,15-1290,Miscellaneous Computer Occupations,broad,362580.0,1.0,46.51,96740.0,0.6
137,15-1299,"Computer Occupations, All Other",detailed,362580.0,1.0,46.51,96740.0,0.6
138,15-2000,Mathematical Science Occupations,minor,219700.0,1.2,47.93,99700.0,0.5
139,15-2010,Actuaries,broad,22480.0,3.3,59.22,123180.0,1.1
140,15-2011,Actuaries,detailed,22480.0,3.3,59.22,123180.0,1.1
141,15-2020,Mathematicians,broad,2460.0,7.9,54.1,112530.0,1.7
142,15-2021,Mathematicians,detailed,2460.0,7.9,54.1,112530.0,1.7
143,15-2030,Operations Research Analysts,broad,96220.0,1.7,44.37,92280.0,0.6
144,15-2031,Operations Research Analysts,detailed,96220.0,1.7,44.37,92280.0,0.6
145,15-2040,Statisticians,broad,38860.0,2.7,46.72,97170.0,1.1
146,15-2041,Statisticians,detailed,38860.0,2.7,46.72,97170.0,1.1
147,15-2098,"Data Scientists and Mathematical Science Occupations, All Other",detailed,59680.0,2.4,49.97,103930.0,0.8
148,17-0000,Architecture and Engineering Occupations,major,2515040.0,0.5,43.41,90300.0,0.3
149,17-1000,"Architects, Surveyors, and Cartographers",minor,180930.0,1.2,39.44,82030.0,0.6
150,17-1010,"Architects, Except Naval",broad,124630.0,1.5,41.89,87130.0,0.8
151,17-1011,"Architects, Except Landscape and Naval",detailed,103900.0,1.7,43.01,89470.0,0.9
152,17-1012,Landscape Architects,detailed,20730.0,5.2,36.27,75440.0,1.3
153,17-1020,"Surveyors, Cartographers, and Photogrammetrists",broad,56310.0,2.2,34.01,70740.0,0.6
154,17-1021,Cartographers and Photogrammetrists,detailed,12600.0,6.9,34.82,72420.0,1.2
155,17-1022,Surveyors,detailed,43710.0,2.0,33.78,70260.0,0.7
156,17-2000,Engineers,minor,1673440.0,0.6,49.28,102500.0,0.3
157,17-2010,Aerospace Engineers,broad,60630.0,3.1,58.23,121110.0,0.8
158,17-2011,Aerospace Engineers,detailed,60630.0,3.1,58.23,121110.0,0.8
159,17-2020,Agricultural Engineers,broad,1440.0,10.3,48.86,101620.0,11.5
160,17-2021,Agricultural Engineers,detailed,1440.0,10.3,48.86,101620.0,11.5
161,17-2030,Bioengineers and Biomedical Engineers,broad,18660.0,4.9,47.28,98340.0,1.1
162,17-2031,Bioengineers and Biomedical Engineers,detailed,18660.0,4.9,47.28,98340.0,1.1
163,17-2040,Chemical Engineers,broad,25770.0,2.6,55.2,114820.0,0.9
164,17-2041,Chemical Engineers,detailed,25770.0,2.6,55.2,114820.0,0.9
165,17-2050,Civil Engineers,broad,300850.0,1.0,45.88,95440.0,0.4
166,17-2051,Civil Engineers,detailed,300850.0,1.0,45.88,95440.0,0.4
167,17-2060,Computer Hardware Engineers,broad,64710.0,3.9,60.65,126140.0,1.8
168,17-2061,Computer Hardware Engineers,detailed,64710.0,3.9,60.65,126140.0,1.8
169,17-2070,Electrical and Electronics Engineers,broad,307540.0,1.2,52.17,108510.0,0.4
170,17-2071,Electrical Engineers,detailed,185220.0,1.4,50.96,105990.0,0.5
171,17-2072,"Electronics Engineers, Except Computer",detailed,122320.0,1.8,54.0,112320.0,0.6
172,17-2080,Environmental Engineers,broad,50260.0,2.0,46.58,96890.0,0.7
173,17-2081,Environmental Engineers,detailed,50260.0,2.0,46.58,96890.0,0.7
174,17-2110,"Industrial Engineers, Including Health and Safety",broad,313980.0,1.3,45.14,93890.0,0.3
175,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",detailed,23780.0,2.2,46.8,97330.0,0.7
176,17-2112,Industrial Engineers,detailed,290190.0,1.4,45.01,93610.0,0.3
177,17-2120,Marine Engineers and Naval Architects,broad,8700.0,7.8,47.88,99590.0,1.6
178,17-2121,Marine Engineers and Naval Architects,detailed,8700.0,7.8,47.88,99590.0,1.6
179,17-2130,Materials Engineers,broad,24740.0,2.5,48.34,100550.0,0.9
180,17-2131,Materials Engineers,detailed,24740.0,2.5,48.34,100550.0,0.9
181,17-2140,Mechanical Engineers,broad,293960.0,1.4,45.94,95560.0,0.4
182,17-2141,Mechanical Engineers,detailed,293960.0,1.4,45.94,95560.0,0.4
183,17-2150,"Mining and Geological Engineers, Including Mining Safety Engineers",broad,6270.0,6.0,48.15,100140.0,1.7
184,17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",detailed,6270.0,6.0,48.15,100140.0,1.7
185,17-2160,Nuclear Engineers,broad,15700.0,4.1,60.16,125130.0,2.9
186,17-2161,Nuclear Engineers,detailed,15700.0,4.1,60.16,125130.0,2.9
187,17-2170,Petroleum Engineers,broad,27850.0,5.1,74.2,154330.0,2.4
188,17-2171,Petroleum Engineers,detailed,27850.0,5.1,74.2,154330.0,2.4
189,17-2190,Miscellaneous Engineers,broad,152380.0,1.7,51.47,107060.0,0.8
190,17-2199,"Engineers, All Other",detailed,152380.0,1.7,51.47,107060.0,0.8
191,17-3000,"Drafters, Engineering Technicians, and Mapping Technicians",minor,660660.0,0.7,29.64,61660.0,0.2
192,17-3010,Drafters,broad,187670.0,1.2,29.03,60390.0,0.3
193,17-3011,Architectural and Civil Drafters,detailed,99180.0,1.7,28.42,59120.0,0.4
194,17-3012,Electrical and Electronics Drafters,detailed,23020.0,3.9,31.59,65720.0,1.1
195,17-3013,Mechanical Drafters,detailed,51620.0,1.7,29.56,61490.0,0.5
196,17-3019,"Drafters, All Other",detailed,13850.0,4.1,27.18,56530.0,1.0
197,17-3020,"Engineering Technologists and Technicians, Except Drafters",broad,419620.0,0.9,30.64,63740.0,0.3
198,17-3021,Aerospace Engineering and Operations Technologists and Technicians,detailed,11900.0,7.2,33.98,70680.0,1.3
199,17-3022,Civil Engineering Technologists and Technicians,detailed,67270.0,1.7,27.21,56590.0,0.5
200,17-3023,Electrical and Electronic Engineering Technologists and Technicians,detailed,115270.0,1.5,32.84,68310.0,0.4
201,17-3024,Electro-Mechanical and Mechatronics Technologists and Technicians,detailed,13160.0,3.9,30.19,62800.0,1.2
202,17-3025,Environmental Engineering Technologists and Technicians,detailed,17070.0,3.9,27.2,56570.0,1.2
203,17-3026,Industrial Engineering Technologists and Technicians,detailed,62980.0,3.3,28.81,59920.0,0.7
204,17-3027,Mechanical Engineering Technologists and Technicians,detailed,39880.0,2.2,29.27,60880.0,0.8
205,17-3030,Surveying and Mapping Technicians,broad,53370.0,3.0,23.93,49770.0,0.5
206,17-3031,Surveying and Mapping Technicians,detailed,53370.0,3.0,23.93,49770.0,0.5
207,17-3098,"Calibration Technologists and Technicians and Engineering Technologists and Technicians, Except Drafters, All Other",detailed,92100.0,1.7,32.52,67640.0,0.8
208,19-0000,"Life, Physical, and Social Science Occupations",major,1296060.0,0.7,38.15,79360.0,0.4
209,19-1000,Life Scientists,minor,311840.0,2.0,44.09,91710.0,0.8
210,19-1010,Agricultural and Food Scientists,broad,29710.0,2.8,36.69,76320.0,1.0
211,19-1011,Animal Scientists,detailed,2680.0,7.3,35.84,74540.0,2.3
212,19-1012,Food Scientists and Technologists,detailed,13080.0,3.9,38.55,80190.0,1.4
213,19-1013,Soil and Plant Scientists,detailed,13950.0,4.6,35.12,73040.0,1.5
214,19-1020,Biological Scientists,broad,110600.0,4.0,44.01,91550.0,1.3
215,19-1021,Biochemists and Biophysicists,detailed,32010.0,8.0,50.39,104810.0,2.0
216,19-1022,Microbiologists,detailed,19710.0,9.8,44.15,91840.0,3.6
217,19-1023,Zoologists and Wildlife Biologists,detailed,17200.0,2.1,33.9,70510.0,0.6
218,19-1029,"Biological Scientists, All Other",detailed,41680.0,2.5,43.22,89910.0,0.7
219,19-1030,Conservation Scientists and Foresters,broad,31380.0,1.8,32.75,68120.0,0.7
220,19-1031,Conservation Scientists,detailed,22020.0,1.9,33.18,69020.0,0.9
221,19-1032,Foresters,detailed,9360.0,3.9,31.73,66000.0,1.3
222,19-1040,Medical Scientists,broad,133620.0,2.9,48.45,100780.0,1.1
223,19-1041,Epidemiologists,detailed,7500.0,2.1,40.2,83620.0,1.3
224,19-1042,"Medical Scientists, Except Epidemiologists",detailed,126110.0,3.1,48.94,101800.0,1.1
225,19-1090,Miscellaneous Life Scientists,broad,6540.0,6.1,44.31,92170.0,3.3
226,19-1099,"Life Scientists, All Other",detailed,6540.0,6.1,44.31,92170.0,3.3
227,19-2000,Physical Scientists,minor,255860.0,1.2,44.98,93560.0,0.7
228,19-2010,Astronomers and Physicists,broad,18080.0,4.7,65.62,136480.0,1.9
229,19-2011,Astronomers,detailed,1910.0,7.2,60.7,126250.0,3.4
230,19-2012,Physicists,detailed,16160.0,5.1,66.2,137700.0,2.0
231,19-2020,Atmospheric and Space Scientists,broad,10210.0,4.8,48.34,100550.0,1.4
232,19-2021,Atmospheric and Space Scientists,detailed,10210.0,4.8,48.34,100550.0,1.4
233,19-2030,Chemists and Materials Scientists,broad,89860.0,1.9,42.21,87800.0,0.8
234,19-2031,Chemists,detailed,82940.0,2.0,41.54,86410.0,0.8
235,19-2032,Materials Scientists,detailed,6930.0,7.0,50.21,104450.0,1.7
236,19-2040,Environmental Scientists and Geoscientists,broad,118660.0,1.6,42.37,88140.0,1.0
237,19-2041,"Environmental Scientists and Specialists, Including Health",detailed,84610.0,2.0,38.5,80090.0,0.9
238,19-2042,"Geoscientists, Except Hydrologists and Geographers",detailed,27890.0,3.2,53.9,112110.0,2.3
239,19-2043,Hydrologists,detailed,6170.0,3.8,43.34,90150.0,1.4
240,19-2090,Miscellaneous Physical Scientists,broad,19050.0,2.3,52.93,110100.0,1.6
241,19-2099,"Physical Scientists, All Other",detailed,19050.0,2.3,52.93,110100.0,1.6
242,19-3000,Social Scientists and Related Workers,minor,247580.0,1.1,43.34,90150.0,0.6
243,19-3010,Economists,broad,17520.0,3.3,58.11,120880.0,1.5
244,19-3011,Economists,detailed,17520.0,3.3,58.11,120880.0,1.5
245,19-3020,Survey Researchers,broad,10350.0,5.4,32.19,66960.0,2.4
246,19-3022,Survey Researchers,detailed,10350.0,5.4,32.19,66960.0,2.4
247,19-3030,Psychologists,broad,127070.0,1.6,43.61,90710.0,0.9
248,19-3031,"Clinical, Counseling, and School Psychologists",detailed,111320.0,1.5,42.93,89290.0,1.1
249,19-3032,Industrial-Organizational Psychologists,detailed,780.0,13.3,54.18,112690.0,5.8
250,19-3039,"Psychologists, All Other",detailed,14960.0,8.1,48.14,100130.0,1.8
251,19-3040,Sociologists,broad,2470.0,8.0,44.91,93420.0,2.3
252,19-3041,Sociologists,detailed,2470.0,8.0,44.91,93420.0,2.3
253,19-3050,Urban and Regional Planners,broad,38190.0,1.8,38.18,79410.0,0.6
254,19-3051,Urban and Regional Planners,detailed,38190.0,1.8,38.18,79410.0,0.6
255,19-3090,Miscellaneous Social Scientists and Related Workers,broad,51980.0,1.8,43.63,90750.0,1.7
256,19-3091,Anthropologists and Archeologists,detailed,7180.0,6.8,33.64,69960.0,1.4
257,19-3092,Geographers,detailed,1450.0,2.5,41.16,85620.0,1.4
258,19-3093,Historians,detailed,2770.0,4.4,32.88,68400.0,2.7
259,19-3094,Political Scientists,detailed,6010.0,5.3,59.66,124100.0,2.4
260,19-3099,"Social Scientists and Related Workers, All Other",detailed,34570.0,2.1,43.88,91280.0,0.9
261,19-4000,"Life, Physical, and Social Science Technicians",minor,363880.0,1.2,25.49,53010.0,0.5
262,19-4010,Agricultural and Food Science Technicians,broad,21940.0,3.2,22.08,45920.0,1.5
263,19-4010,Agricultural and Food Science Technicians,detailed,21940.0,3.2,22.08,45920.0,1.5
264,19-4020,Biological Technicians,broad,80640.0,3.0,23.79,49490.0,0.6
265,19-4021,Biological Technicians,detailed,80640.0,3.0,23.79,49490.0,0.6
266,19-4030,Chemical Technicians,broad,63490.0,2.1,25.82,53700.0,0.7
267,19-4031,Chemical Technicians,detailed,63490.0,2.1,25.82,53700.0,0.7
268,19-4040,Environmental Science and Geoscience Technicians,broad,47440.0,2.4,26.11,54300.0,1.1
269,19-4042,"Environmental Science and Protection Technicians, Including Health",detailed,31860.0,2.8,24.5,50960.0,1.0
270,19-4045,Geological and Hydrologic Technicians,detailed,15580.0,4.6,29.39,61130.0,2.6
271,19-4050,Nuclear Technicians,broad,6160.0,5.5,40.29,83810.0,1.8
272,19-4051,Nuclear Technicians,detailed,6160.0,5.5,40.29,83810.0,1.8
273,19-4060,Social Science Research Assistants,broad,35330.0,5.8,25.75,53560.0,1.1
274,19-4061,Social Science Research Assistants,detailed,35330.0,5.8,25.75,53560.0,1.1
275,19-4070,Forest and Conservation Technicians,broad,30150.0,1.3,20.57,42780.0,0.3
276,19-4071,Forest and Conservation Technicians,detailed,30150.0,1.3,20.57,42780.0,0.3
277,19-4090,"Miscellaneous Life, Physical, and Social Science Technicians",broad,78720.0,2.0,28.14,58530.0,1.1
278,19-4092,Forensic Science Technicians,detailed,16640.0,1.5,31.2,64890.0,0.9
279,19-4099,"Life, Physical, and Social Science Technicians, All Other",detailed,62080.0,2.5,27.32,56830.0,1.5
280,19-5000,Occupational Health and Safety Specialists and Technicians,minor,116910.0,0.9,35.81,74480.0,0.3
281,19-5010,Occupational Health and Safety Specialists and Technicians,broad,116910.0,0.9,35.81,74480.0,0.3
282,19-5011,Occupational Health and Safety Specialists,detailed,95960.0,1.0,37.55,78110.0,0.3
283,19-5012,Occupational Health and Safety Technicians,detailed,20950.0,2.0,27.82,57870.0,1.0
284,21-0000,Community and Social Service Occupations,major,2231070.0,0.5,25.09,52180.0,0.4
285,21-1000,"Counselors, Social Workers, and Other Community and Social Service Specialists",minor,2150050.0,0.5,25.06,52120.0,0.4
286,21-1010,Counselors,broad,774270.0,0.7,26.34,54780.0,0.4
287,21-1012,"Educational, Guidance, and Career Counselors and Advisors",detailed,292230.0,0.8,29.96,62320.0,0.5
288,21-1013,Marriage and Family Therapists,detailed,60850.0,4.2,27.35,56890.0,1.5
289,21-1015,Rehabilitation Counselors,detailed,100260.0,2.0,20.23,42080.0,0.8
290,21-1018,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",detailed,293620.0,1.2,24.78,51550.0,0.5
291,21-1019,"Counselors, All Other",detailed,27310.0,5.6,24.42,50800.0,1.7
292,21-1020,Social Workers,broad,681400.0,0.8,26.9,55950.0,0.6
293,21-1021,"Child, Family, and School Social Workers",detailed,328120.0,1.2,25.18,52370.0,1.0
294,21-1022,Healthcare Social Workers,detailed,176110.0,1.5,29.07,60470.0,0.5
295,21-1023,Mental Health and Substance Abuse Social Workers,detailed,116780.0,1.6,26.22,54540.0,0.8
296,21-1029,"Social Workers, All Other",detailed,60390.0,1.7,31.22,64940.0,0.8
297,21-1090,Miscellaneous Community and Social Service Specialists,broad,694380.0,0.8,21.82,45390.0,0.6
298,21-1091,Health Education Specialists,detailed,57920.0,1.8,29.86,62120.0,1.5
299,21-1092,Probation Officers and Correctional Treatment Specialists,detailed,90070.0,0.9,29.76,61900.0,0.9
300,21-1093,Social and Human Service Assistants,detailed,399920.0,1.1,18.38,38230.0,0.4
301,21-1094,Community Health Workers,detailed,58670.0,2.3,22.12,46000.0,0.7
302,21-1099,"Community and Social Service Specialists, All Other",detailed,87800.0,1.7,23.85,49600.0,0.9
303,21-2000,Religious Workers,minor,81020.0,1.7,25.86,53790.0,0.9
304,21-2010,Clergy,broad,52260.0,2.1,27.19,56560.0,1.0
305,21-2011,Clergy,detailed,52260.0,2.1,27.19,56560.0,1.0
306,21-2020,"Directors, Religious Activities and Education",broad,19860.0,2.8,25.32,52660.0,1.7
307,21-2021,"Directors, Religious Activities and Education",detailed,19860.0,2.8,25.32,52660.0,1.7
308,21-2090,Miscellaneous Religious Workers,broad,8900.0,5.7,19.26,40070.0,2.3
309,21-2099,"Religious Workers, All Other",detailed,8900.0,5.7,19.26,40070.0,2.3
