,occ_code,occ_title,occ_group,tot_emp,emp_prse,h_mean,a_mean,mean_prse,h_pct10,h_pct25,h_median,h_pct75,h_pct90,a_pct10,a_pct25,a_median,a_pct75,a_pct90
60,11-9130,Postmasters and Mail Superintendents,broad,13770,0.3,37.04,77040.0,0.1,30.88,32.89,36.52,40.78,45.01,64220,68410,75970,84810,93630
61,11-9131,Postmasters and Mail Superintendents,detailed,13770,0.3,37.04,77040.0,0.1,30.88,32.89,36.52,40.78,45.01,64220,68410,75970,84810,93630
62,11-9140,"Property, Real Estate, and Community Association Managers",broad,202550,1.3,34.49,71730.0,0.9,14.28,19.81,28.05,40.92,60.67,29700,41210,58340,85120,126200
63,11-9141,"Property, Real Estate, and Community Association Managers",detailed,202550,1.3,34.49,71730.0,0.9,14.28,19.81,28.05,40.92,60.67,29700,41210,58340,85120,126200
64,11-9150,Social and Community Service Managers,broad,149870,1.2,34.46,71670.0,0.5,19.58,24.57,31.41,41.43,53.44,40720,51100,65320,86170,111150
65,11-9151,Social and Community Service Managers,detailed,149870,1.2,34.46,71670.0,0.5,19.58,24.57,31.41,41.43,53.44,40720,51100,65320,86170,111150
66,11-9160,Emergency Management Directors,broad,9550,1.8,39.7,82570.0,0.8,19.45,25.76,35.78,50.39,67.85,40460,53580,74420,104800,141130
67,11-9161,Emergency Management Directors,detailed,9550,1.8,39.7,82570.0,0.8,19.45,25.76,35.78,50.39,67.85,40460,53580,74420,104800,141130
68,11-9190,Miscellaneous Managers,broad,462840,0.6,55.57,115590.0,0.3,25.26,36.28,51.67,68.86,88.19,52550,75460,107480,143230,183430
69,11-9199,"Managers, All Other",detailed,462840,0.6,55.57,115590.0,0.3,25.26,36.28,51.67,68.86,88.19,52550,75460,107480,143230,183430
70,13-0000,Business and Financial Operations Occupations,major,7721300,0.3,36.98,76910.0,0.2,18.33,24.53,32.86,44.65,59.44,38130,51020,68350,92870,123640
71,13-1000,Business Operations Specialists,minor,5022640,0.3,35.52,73890.0,0.2,17.91,24.02,32.27,43.56,56.96,37260,49950,67120,90610,118480
72,13-1010,"Agents and Business Managers of Artists, Performers, and Athletes",broad,14830,4.4,43.72,90930.0,3.8,16.08,21.8,31.75,51.79,90.19,33440,45340,66040,107720,187600
73,13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",detailed,14830,4.4,43.72,90930.0,3.8,16.08,21.8,31.75,51.79,90.19,33440,45340,66040,107720,187600
74,13-1020,Buyers and Purchasing Agents,detailed,407410,0.7,32.47,67530.0,0.2,17.83,23.03,30.17,39.63,50.09,37080,47900,62750,82430,104190
75,13-1020,Buyers and Purchasing Agents,broad,407410,0.7,32.47,67530.0,0.2,17.83,23.03,30.17,39.63,50.09,37080,47900,62750,82430,104190
76,13-1030,"Claims Adjusters, Appraisers, Examiners, and Investigators",broad,302930,1.4,32.42,67440.0,0.6,19.15,24.12,31.57,39.02,47.32,39830,50170,65670,81170,98430
77,13-1031,"Claims Adjusters, Examiners, and Investigators",detailed,287730,1.4,32.47,67540.0,0.6,19.05,24.05,31.68,39.13,47.44,39620,50020,65900,81390,98660
78,13-1032,"Insurance Appraisers, Auto Damage",detailed,15200,5.0,31.5,65510.0,0.9,20.75,25.1,30.06,37.22,45.22,43170,52200,62520,77410,94060
79,13-1040,Compliance Officers,broad,300900,0.8,34.86,72520.0,0.5,18.42,24.34,33.1,43.74,52.72,38320,50620,68860,90980,109650
80,13-1041,Compliance Officers,detailed,300900,0.8,34.86,72520.0,0.5,18.42,24.34,33.1,43.74,52.72,38320,50620,68860,90980,109650
81,13-1050,Cost Estimators,broad,211600,0.8,33.52,69710.0,0.3,18.3,23.97,30.79,40.38,51.9,38060,49850,64040,84000,107940
82,13-1051,Cost Estimators,detailed,211600,0.8,33.52,69710.0,0.3,18.3,23.97,30.79,40.38,51.9,38060,49850,64040,84000,107940
83,13-1070,Human Resources Workers,broad,671140,0.5,32.32,67240.0,0.3,16.88,22.26,29.52,39.08,51.21,35100,46310,61400,81290,106510
84,13-1071,Human Resources Specialists,detailed,593790,0.5,32.11,66790.0,0.2,17.44,22.34,29.27,38.52,50.19,36270,46460,60880,80120,104390
85,13-1074,Farm Labor Contractors,detailed,200,14.9,25.45,52930.0,7.0,11.33,15.77,22.19,35.4,43.82,23560,32800,46150,73630,91160
86,13-1075,Labor Relations Specialists,detailed,77140,1.8,34.01,70730.0,1.4,9.26,20.94,32.59,44.97,59.3,19270,43560,67790,93530,123340
87,13-1080,Logisticians,broad,169820,1.1,37.85,78730.0,0.4,21.36,27.62,35.86,46.15,57.67,44440,57450,74600,95980,119950
88,13-1081,Logisticians,detailed,169820,1.1,37.85,78730.0,0.4,21.36,27.62,35.86,46.15,57.67,44440,57450,74600,95980,119950
89,13-1110,Management Analysts,broad,684470,0.8,45.38,94390.0,0.5,23.25,30.05,40.2,53.91,73.44,48360,62500,83610,112140,152760
90,13-1111,Management Analysts,detailed,684470,0.8,45.38,94390.0,0.5,23.25,30.05,40.2,53.91,73.44,48360,62500,83610,112140,152760
91,13-1120,"Meeting, Convention, and Event Planners",broad,110120,1.7,25.83,53730.0,0.7,13.25,17.65,23.74,31.21,40.82,27560,36720,49370,64910,84900
92,13-1121,"Meeting, Convention, and Event Planners",detailed,110120,1.7,25.83,53730.0,0.7,13.25,17.65,23.74,31.21,40.82,27560,36720,49370,64910,84900
93,13-1130,Fundraisers,broad,75700,1.4,29.62,61610.0,0.8,16.25,20.93,27.38,35.99,46.82,33810,43540,56950,74860,97380
94,13-1131,Fundraisers,detailed,75700,1.4,29.62,61610.0,0.8,16.25,20.93,27.38,35.99,46.82,33810,43540,56950,74860,97380
95,13-1140,"Compensation, Benefits, and Job Analysis Specialists",broad,83550,1.5,32.65,67910.0,0.5,18.88,23.47,30.29,38.75,49.23,39270,48830,63000,80590,102400
96,13-1141,"Compensation, Benefits, and Job Analysis Specialists",detailed,83550,1.5,32.65,67910.0,0.5,18.88,23.47,30.29,38.75,49.23,39270,48830,63000,80590,102400
97,13-1150,Training and Development Specialists,broad,291380,0.8,31.31,65120.0,0.3,15.84,21.38,29.26,38.88,49.4,32950,44480,60870,80870,102740
98,13-1151,Training and Development Specialists,detailed,291380,0.8,31.31,65120.0,0.3,15.84,21.38,29.26,38.88,49.4,32950,44480,60870,80870,102740
99,13-1160,Market Research Analysts and Marketing Specialists,broad,638200,1.0,34.11,70960.0,0.4,16.5,22.29,30.35,42.63,58.21,34310,46360,63120,88680,121080
100,13-1161,Market Research Analysts and Marketing Specialists,detailed,638200,1.0,34.11,70960.0,0.4,16.5,22.29,30.35,42.63,58.21,34310,46360,63120,88680,121080
101,13-1190,Miscellaneous Business Operations Specialists,broad,1060580,0.5,37.0,76960.0,0.3,18.47,25.09,33.91,45.62,59.13,38420,52200,70530,94890,123000
102,13-1199,"Business Operations Specialists, All Other",detailed,1060580,0.5,37.0,76960.0,0.3,18.47,25.09,33.91,45.62,59.13,38420,52200,70530,94890,123000
103,13-2000,Financial Specialists,minor,2698660,0.5,39.69,82550.0,0.3,19.26,25.53,34.02,46.64,64.38,40070,53090,70770,97010,133920
104,13-2010,Accountants and Auditors,broad,1259930,0.7,37.89,78820.0,0.3,20.99,26.48,33.89,44.67,59.06,43650,55070,70500,92910,122840
105,13-2011,Accountants and Auditors,detailed,1259930,0.7,37.89,78820.0,0.3,20.99,26.48,33.89,44.67,59.06,43650,55070,70500,92910,122840
106,13-2020,Appraisers and Assessors of Real Estate,broad,57900,2.5,29.75,61870.0,1.3,14.27,19.38,26.43,37.16,49.32,29690,40310,54980,77290,102590
107,13-2021,Appraisers and Assessors of Real Estate,detailed,57900,2.5,29.75,61870.0,1.3,14.27,19.38,26.43,37.16,49.32,29690,40310,54980,77290,102590
108,13-2030,Budget Analysts,broad,52810,1.1,38.38,79830.0,0.6,23.97,29.19,36.65,46.27,55.91,49860,60720,76220,96250,116300
109,13-2031,Budget Analysts,detailed,52810,1.1,38.38,79830.0,0.6,23.97,29.19,36.65,46.27,55.91,49860,60720,76220,96250,116300
110,13-2040,Credit Analysts,broad,74820,1.8,39.57,82300.0,0.9,20.72,26.22,34.38,47.2,66.16,43100,54540,71520,98180,137610
111,13-2041,Credit Analysts,detailed,74820,1.8,39.57,82300.0,0.9,20.72,26.22,34.38,47.2,66.16,43100,54540,71520,98180,137610
112,13-2050,Financial Analysts and Advisors,broad,602500,0.9,50.03,104050.0,0.7,22.29,29.01,39.84,58.39,93.04,46370,60340,82860,121460,193520
113,13-2051,Financial Analysts,detailed,306200,1.4,48.55,100990.0,0.9,25.26,31.42,41.18,55.94,80.49,52540,65350,85660,116360,167420
114,13-2052,Personal Financial Advisors,detailed,200260,1.5,58.54,121770.0,1.1,19.99,27.54,42.73,75.82,#,41590,57290,88890,157710,#
115,13-2053,Insurance Underwriters,detailed,96040,2.6,36.96,76880.0,0.7,20.32,25.57,33.36,44.98,59.06,42260,53200,69380,93550,122840
116,13-2060,Financial Examiners,broad,58590,1.9,43.42,90310.0,1.5,20.26,27.84,38.55,53.41,74.32,42150,57910,80180,111080,154590
117,13-2061,Financial Examiners,detailed,58590,1.9,43.42,90310.0,1.5,20.26,27.84,38.55,53.41,74.32,42150,57910,80180,111080,154590
118,13-2070,Credit Counselors and Loan Officers,broad,340690,1.1,35.33,73490.0,0.6,15.21,20.62,29.11,42.46,61.54,31630,42890,60540,88320,128000
119,13-2071,Credit Counselors,detailed,35740,3.7,23.95,49820.0,1.1,14.63,17.42,21.72,27.79,36.87,30440,36230,45180,57800,76690
120,13-2072,Loan Officers,detailed,304950,1.2,36.67,76270.0,0.6,15.32,21.4,30.31,44.35,63.5,31870,44500,63040,92240,132080
121,13-2080,"Tax Examiners, Collectors and Preparers, and Revenue Agents",broad,122640,1.6,25.45,52930.0,0.9,11.09,15.47,22.92,32.15,44.45,23070,32170,47680,66860,92450
122,13-2081,"Tax Examiners and Collectors, and Revenue Agents",detailed,54550,0.3,29.09,60500.0,0.3,15.63,19.91,26.17,36.45,48.62,32500,41420,54440,75820,101120
123,13-2082,Tax Preparers,detailed,68090,2.9,22.53,46860.0,1.6,9.88,12.64,18.94,28.9,39.29,20550,26280,39390,60120,81720
124,13-2090,Miscellaneous Financial Specialists,broad,128760,1.2,37.3,77580.0,0.7,18.28,24.57,33.79,45.47,59.31,38030,51100,70280,94580,123360
125,13-2099,"Financial Specialists, All Other",detailed,128760,1.2,37.3,77580.0,0.7,18.28,24.57,33.79,45.47,59.31,38030,51100,70280,94580,123360
126,15-0000,Computer and Mathematical Occupations,major,4384300,0.5,44.01,91530.0,0.4,21.41,29.64,41.51,55.98,71.12,44530,61640,86340,116440,147920
127,15-1100,Computer Occupations,minor,4214820,0.5,43.98,91480.0,0.4,21.32,29.58,41.5,56.02,71.15,44350,61520,86320,116520,147990
128,15-1110,Computer and Information Research Scientists,broad,30070,3.4,59.54,123850.0,1.3,33.28,44.06,56.91,71.86,88.38,69230,91650,118370,149470,183820
129,15-1111,Computer and Information Research Scientists,detailed,30070,3.4,59.54,123850.0,1.3,33.28,44.06,56.91,71.86,88.38,69230,91650,118370,149470,183820
130,15-1120,Computer and Information Analysts,broad,696030,0.9,45.67,94990.0,0.3,26.28,33.36,43.31,55.75,70.01,54670,69390,90080,115970,145620
131,15-1121,Computer Systems Analysts,detailed,587970,1.0,45.01,93610.0,0.3,26.14,33.04,42.66,54.55,68.38,54360,68730,88740,113460,142220
132,15-1122,Information Security Analysts,detailed,108060,2.0,49.26,102470.0,0.5,27.28,35.52,47.28,60.99,75.28,56750,73890,98350,126870,156580
133,15-1130,Software Developers and Programmers,broad,1666270,1.2,50.23,104480.0,0.7,27.2,36.07,48.04,61.7,76.78,56570,75020,99920,128330,159700
134,15-1131,Computer Programmers,detailed,230470,2.4,43.07,89580.0,1.3,23.46,30.97,40.52,52.46,64.73,48790,64410,84280,109120,134630
135,15-1132,"Software Developers, Applications",detailed,903160,1.6,51.96,108080.0,0.9,29.64,38.14,49.82,62.72,77.54,61660,79340,103620,130460,161290
136,15-1133,"Software Developers, Systems Software",detailed,405330,1.3,54.81,114000.0,0.5,32.09,41.16,52.89,67.09,80.27,66740,85610,110000,139550,166960
137,15-1134,Web Developers,detailed,127300,1.4,36.34,75580.0,0.7,18.24,24.51,33.38,45.68,59.84,37930,50990,69430,95020,124480
138,15-1140,Database and Systems Administrators and Network Architects,broad,629020,0.7,45.09,93780.0,0.2,25.15,32.29,42.79,56.16,70.09,52300,67160,89000,116820,145790
139,15-1141,Database Administrators,detailed,110090,1.0,44.25,92030.0,0.3,24.2,31.83,43.31,55.8,66.5,50340,66200,90070,116060,138320
140,15-1142,Network and Computer Systems Administrators,detailed,366250,0.8,41.86,87070.0,0.3,24.51,30.78,39.45,50.47,62.85,50990,64010,82050,104970,130720
141,15-1143,Computer Network Architects,detailed,152670,1.6,53.43,111130.0,0.6,29,39.4,52.41,66.26,78.98,60310,81960,109020,137820,164280
142,15-1150,Computer Support Specialists,broad,812060,0.8,27.86,57950.0,0.3,15.56,19.69,25.7,33.84,44.3,32350,40950,53470,70380,92150
143,15-1151,Computer User Support Specialists,detailed,630700,0.8,26.46,55050.0,0.4,15.01,18.9,24.51,31.56,40.63,31220,39310,50980,65640,84510
144,15-1152,Computer Network Support Specialists,detailed,181360,1.4,32.72,68050.0,0.5,18.4,23.16,30.18,39.56,50.85,38270,48160,62770,82290,105770
145,15-1190,Miscellaneous Computer Occupations,broad,381380,0.9,44.88,93350.0,0.4,22.77,31.93,43.4,56.28,69.62,47350,66410,90270,117070,144820
146,15-1199,"Computer Occupations, All Other",detailed,381380,0.9,44.88,93350.0,0.4,22.77,31.93,43.4,56.28,69.62,47350,66410,90270,117070,144820
147,15-2000,Mathematical Science Occupations,minor,169480,1.5,44.63,92830.0,0.4,23.64,30.94,41.68,55.09,70.09,49180,64360,86700,114590,145790
148,15-2010,Actuaries,broad,20760,4.4,55.89,116250.0,1.2,29.4,36.88,49.46,68.15,89.47,61140,76720,102880,141760,186110
149,15-2011,Actuaries,detailed,20760,4.4,55.89,116250.0,1.2,29.4,36.88,49.46,68.15,89.47,61140,76720,102880,141760,186110
150,15-2020,Mathematicians,broad,2580,5.6,50.42,104870.0,1.7,27.48,35.33,48.99,60.61,77.19,57150,73490,101900,126070,160550
151,15-2021,Mathematicians,detailed,2580,5.6,50.42,104870.0,1.7,27.48,35.33,48.99,60.61,77.19,57150,73490,101900,126070,160550
152,15-2030,Operations Research Analysts,broad,104200,1.8,42.48,88350.0,0.5,22.5,29.46,40.09,52.73,65.51,46810,61280,83390,109670,136250
153,15-2031,Operations Research Analysts,detailed,104200,1.8,42.48,88350.0,0.5,22.5,29.46,40.09,52.73,65.51,46810,61280,83390,109670,136250
154,15-2040,Statisticians,broad,39920,2.0,44.52,92600.0,0.7,25.48,32.43,42.2,54.65,67,53000,67440,87780,113670,139350
155,15-2041,Statisticians,detailed,39920,2.0,44.52,92600.0,0.7,25.48,32.43,42.2,54.65,67,53000,67440,87780,113670,139350
156,15-2090,Miscellaneous Mathematical Science Occupations,detailed,2010,6.0,34.8,72390.0,3.2,14.65,18.06,27.5,42.8,71,30460,37570,57190,89030,147670
157,15-2090,Miscellaneous Mathematical Science Occupations,broad,2010,6.0,34.8,72390.0,3.2,14.65,18.06,27.5,42.8,71,30460,37570,57190,89030,147670
158,17-0000,Architecture and Engineering Occupations,major,2556220,0.5,42.01,87370.0,0.3,21.33,28.72,38.55,51.81,66.98,44360,59750,80170,107760,139320
159,17-1000,"Architects, Surveyors, and Cartographers",minor,179380,1.1,38.61,80300.0,0.7,20.22,26.67,35.2,46.52,60.21,42070,55470,73210,96770,125240
160,17-1010,"Architects, Except Naval",broad,123020,1.5,41.58,86480.0,0.9,22.31,28.7,37.37,49.2,63.86,46410,59690,77730,102330,132840
161,17-1011,"Architects, Except Landscape and Naval",detailed,104360,1.7,42.72,88860.0,1.0,23.09,29.46,38.16,50.25,66.4,48020,61280,79380,104510,138120
162,17-1012,Landscape Architects,detailed,18660,4.9,35.17,73160.0,1.3,19.57,25.52,32.8,43,54.49,40710,53080,68230,89450,113340
163,17-1020,"Surveyors, Cartographers, and Photogrammetrists",broad,56360,1.6,32.12,66810.0,0.5,17.35,22.86,30.27,39.56,49.05,36100,47540,62960,82290,102030
164,17-1021,Cartographers and Photogrammetrists,detailed,11050,2.5,32.86,68340.0,0.8,19.69,24.61,30.98,39.81,48.75,40960,51180,64430,82810,101400
165,17-1022,Surveyors,detailed,45310,1.9,31.94,66440.0,0.6,16.9,22.4,30.09,39.49,49.15,35160,46590,62580,82140,102220
166,17-2000,Engineers,minor,1700880,0.6,47.71,99230.0,0.3,27.43,34.53,44.75,57.93,73.29,57060,71820,93080,120500,152440
167,17-2010,Aerospace Engineers,broad,63960,3.4,56.3,117100.0,0.7,34.44,43.19,55.39,68.91,78.95,71640,89830,115220,143340,164210
168,17-2011,Aerospace Engineers,detailed,63960,3.4,56.3,117100.0,0.7,34.44,43.19,55.39,68.91,78.95,71640,89830,115220,143340,164210
169,17-2020,Agricultural Engineers,broad,1630,7.8,38.03,79090.0,1.3,22.36,28.82,37.07,45.73,56.18,46500,59940,77110,95110,116850
170,17-2021,Agricultural Engineers,detailed,1630,7.8,38.03,79090.0,1.3,22.36,28.82,37.07,45.73,56.18,46500,59940,77110,95110,116850
171,17-2030,Biomedical Engineers,broad,18970,4.9,45.72,95090.0,1.2,24.95,32.61,42.57,55.25,69.4,51890,67830,88550,114930,144350
172,17-2031,Biomedical Engineers,detailed,18970,4.9,45.72,95090.0,1.2,24.95,32.61,42.57,55.25,69.4,51890,67830,88550,114930,144350
173,17-2040,Chemical Engineers,broad,32060,2.9,55.03,114470.0,1.5,31.2,39.37,50.44,64.1,81.62,64890,81900,104910,133320,169770
174,17-2041,Chemical Engineers,detailed,32060,2.9,55.03,114470.0,1.5,31.2,39.37,50.44,64.1,81.62,64890,81900,104910,133320,169770
175,17-2050,Civil Engineers,broad,306030,1.0,45.06,93720.0,0.4,26.34,32.42,41.65,54.25,68.54,54780,67430,86640,112850,142560
176,17-2051,Civil Engineers,detailed,306030,1.0,45.06,93720.0,0.4,26.34,32.42,41.65,54.25,68.54,54780,67430,86640,112850,142560
177,17-2060,Computer Hardware Engineers,broad,60750,3.0,56.66,117840.0,1.1,32.07,41.71,55.1,70.2,83,66700,86760,114600,146020,172630
178,17-2061,Computer Hardware Engineers,detailed,60750,3.0,56.66,117840.0,1.1,32.07,41.71,55.1,70.2,83,66700,86760,114600,146020,172630
179,17-2070,Electrical and Electronics Engineers,broad,320610,1.3,50.12,104250.0,0.4,30.18,37.04,47.63,60.62,75.77,62780,77030,99070,126080,157600
180,17-2071,Electrical Engineers,detailed,186490,1.3,48.85,101600.0,0.4,29.42,36.26,46.46,59.21,73.67,61190,75430,96640,123160,153240
181,17-2072,"Electronics Engineers, Except Computer",detailed,134110,2.5,51.89,107930.0,0.8,31.17,38.29,49.37,62.57,77.98,64840,79640,102700,130150,162200
